Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
14184,S310VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12276
14185,S311PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12275
14186,S311AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12275
14187,S311AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12275
14188,S311BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12275
14189,S311MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12275
14190,S311PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12275
14191,S311RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12275
14192,S311VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12275
14193,S312PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12274
14194,S312AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12274
14195,S312AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12274
14196,S312BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12274
14197,S312MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12274
14198,S312PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12274
14199,S312RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12274
14200,S312VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12274
14201,S313PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12273
14202,S313AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12273
14203,S313AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12273
14204,S313BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12273
14205,S313MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12273
14206,S313PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12273
14207,S313-RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12273
14208,S313VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12273
14209,S314PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12272
14210,S314AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12272
14211,S314AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12272
14212,S314BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12272
14213,S314MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12272
14214,S314PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12272
14215,S314RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12272
14216,S314VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12272
14217,S315PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12271
14218,S315AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12271
14219,S315AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12271
14220,S315BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12271
14221,S315MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12271
14222,S315PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12271
14223,S315RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12271
14224,S315VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12271
14225,S326PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12270
14226,S326AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12270
14227,S326AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12270
14228,S326BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12270
14229,S326MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12270
14230,S326PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12270
14231,S326RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12270
14232,S326VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12270
